link,微博id,微博正文,头条文章url,是否为原创微博,发布时间,点赞数,转发数,评论数
https://m.weibo.cn/detail/Mev1t8Nd7,Mev1t8Nd7,我们正为您直播#2022直击金鸡奖#电影频道联合厦门广电5G+360°融媒体全景直播第3天！金鸡电影论坛演员论坛、创投大会、提名者表彰仪式、鼓浪屿论坛、中国电影科技论坛、新片发布会等金鸡奖各大活动现场直击报道，提名者做客采访，分享影片拍摄幕后故事；#2022星辰大海青年演员优选计划#继续出发！青年演员将在厦门市同安区、龙岩市长汀县展开更多采风创作体验，全新的一天又会发生哪些不一样的经历？更有金鸡奖闭幕式阵容剧透，台前幕后独家亮点揭秘……更多精彩内容，锁定直播，不见不散！  中国电影报道的微博直播                                 ,,True,11/11/2022 10:00,18983,1079,93798
https://m.weibo.cn/detail/Lti9rvSFS,Lti9rvSFS,#断桥改档至暑期上映# 原定于6月2日上映的电影《断·桥》宣布改档至2022暑期上映，具体上映日期待定。影片由李玉执导、方励监制，马思纯、王俊凯、范伟领衔主演，讲述在大桥坍塌后惊现一具人骨，从而牵连出一桩多年前的凶杀案。死者女儿闻晓雨(马思纯 饰)被修车工孟超(王俊凯 饰)告知当年的目击画面，而这一切都牵扯到闻晓雨养父朱方正(范伟 饰)身上。             [组图共2张]      原图                             ,,True,16/05/2022 18:04,44679,6751,90463
https://m.weibo.cn/detail/LEDEdB0b4,LEDEdB0b4,#百花奖红毯探秘# #2022直击百花奖# 电影频道“2022直击百花奖”融媒体全景直播最后一天！我们将一路跟随明星嘉宾从酒店出发，前往红毯场馆，体验独特的红毯设计，穿梭时空隧道，感受中国电影的百年魅力；CCTV6电影频道及全网平台也将实时直播闭幕式暨颁奖典礼，一探百花60年的光影盛会。此外，更有群...全文 ,,True,30/07/2022 9:01,14016,954,90026
https://m.weibo.cn/detail/LeNvs8Nxx,LeNvs8Nxx,#奇迹笨小孩雨中赞歌片段##易烊千玺唱歌暖水瓶当话筒#《奇迹·笨小孩》发布“雨中赞歌”片段，“奇迹小队”在雨中的卡车里化身无实物乐队大声合唱，满满的正能量。影片正在上映中。#奇迹小队好有团魂# @电影奇迹笨小孩  中国电影报道的微博视频  ,,True,10/02/2022 10:19,6222,1143,88036
https://m.weibo.cn/detail/LD9Swe96G,LD9Swe96G,#易烊千玺同时提名百花奖男主男配# #第36届百花奖提名名单#出炉，易烊千玺凭借电影《奇迹•笨小孩》中饰景浩获得最佳男主角提名，同时凭借电影《中国医生》中饰杨小羊获得最佳男配角提名。  [组图共2张] 原图 ,,True,20/07/2022 15:23,1860435,55765,87899
https://m.weibo.cn/detail/Kza5ej9AE,Kza5ej9AE,【直播|#大湾区购物节群星接力公益直播#】我们正在为您全网直播首届“粤港澳大湾区购物节”群星接力公益直播，@陳法蓉 、@陈飞宇Arthur 、@杜江侦察记 、@关晓彤 、@關智斌 、@胡杏儿 、@华晨宇yu 、@黄晓明 、@惠英紅kara 、@李治廷 、@梁漢文edmond 、@林曉峰 、@刘恺威 、@卢靖姗CelinaJade 、@Josh吕方 、@莫华伦 、@任達華 、@王宝强 、王耀庆、@魏大勋 、@謝天華Laughing 、@楊丞琳 、@郑希怡 、@钟镇涛 、@卡布叻_周深 等做客直播互动，讲述中秋故事，“种草”湾区好物，分享湾区体验。锁定直播，不见不散！#湾区升明月# 中国电影报道的微博直播                                 ,,True,21/09/2021 9:49,55286,4817,72783
https://m.weibo.cn/detail/LfCv7qncV,LfCv7qncV,#肖战手绘雪容融为冬奥健儿加油##肖战手绘雪容融#@X玖少年团肖战DAYTOY 手绘雪容融，他还有什么才华是我们不知道的！肖战祝福每位冬奥运动员都能逐梦冰雪，享受比赛，圆梦北京，创造属于自己的辉煌，祝电影频道的观众和全国朋友元宵节快乐！#爱的明信片祝福冬奥健儿#   中国电影报道的微博视频  ,,True,15/02/2022 20:08,638285,173959,61472
https://m.weibo.cn/detail/MelNuw0n0,MelNuw0n0,【直播|#2022直击金鸡奖#融媒体全景直播第二天】我们将在11:00，为您直播2022直击金鸡奖，电影频道联合厦门广电5G+360°融媒体全景直播第二天！第35届金鸡奖正式拉开帷幕，开幕式全程直播，学术峰会、元宇宙AR秀、新片发布会等现场直击，王博学、杨秀措、于慧等提名者做客采访，分享金鸡感悟；...全文 ,,True,10/11/2022 10:31,17504,1525,61327
https://m.weibo.cn/detail/LEkZAopTi,LEkZAopTi,【#2022直击百花奖#】我们正在为您直播“2022直击百花奖”融媒体全景直播，第36届大众电影百花奖今日拉开帷幕，直击开幕式暨百花奖论坛、百花影展、艺术家下基层等主体特色活动，一起进入“百花进行时”！从黄鹤楼出发，沿途打卡武汉长江大桥、武汉车谷、武汉电影公司，夜航长江，一起巡游“两江四岸”...全文 ,,True,28/07/2022 9:31,9369,406,60708
https://m.weibo.cn/detail/M7zQnDPiQ,M7zQnDPiQ,#王俊凯万里归途带你了解真实外交官#在#电影万里归途#的@M观影团 上，王俊凯说，知道电影可以在国庆档上映非常激动，希望大家可以通过电影了解外交官的事迹，外交官不光是在新闻发布会上的光鲜时刻，他们还会经历危险，甚至是枪林弹雨。#万里归途北京首映# 中国电影报道的微博视频  ,,True,26/09/2022 21:24,40419,4434,60614
https://m.weibo.cn/detail/Medf74oy3,Medf74oy3,我们将在今天（11月9日）下午17:00 ， 为您直播#2022直击金鸡奖#电影频道联合厦门广电5G+360°融媒体全景直播。一站直达——第35届中国电影金鸡奖开幕在即，开幕式、提名者表彰仪式、论坛、影展、创投大会等筹备情况提前探访， 八闽电影巡展启动仪式、金鸡国际影展开幕式等现场直击，在鹭岛感受“金鸡热...全文 ,,True,9/11/2022 12:44,29324,461,55879
https://m.weibo.cn/detail/KFSGvl76j,KFSGvl76j,【直播|#潮起中国非遗焕新夜#】正在直播“潮起中国非遗焕新夜” @阿朵 、@陈都灵 、@陈学冬 、@理塘丁真 、@多琴方锦龙 、@郭德纲 、@演员郭晓东 、@海一天real 、@黄晓明 、@吉克隽逸 、电影频道@主持人蓝羽 、@李佳琦Austin 、@李祎然 、@李易峰 、@李玉刚 、@罗昱文 、@马佳Tenor 、@时代少年团 、...全文 ,,True,4/11/2021 14:24,345133,70632,51080
https://m.weibo.cn/detail/Lfs4g2yg2,Lfs4g2yg2,#爱的明信片祝福冬奥健儿# “交给我们吧”——一份中国的承诺，数万封全球的冬奥祝福。书信为桥，牵引全人类共赴冰雪之约；情跨山海，千万人接力传递冬奥之光。2月15日13：00， 锁定“爱的明信片”融媒体直播活动，@X玖少年团肖战DAYTOY 与你一起向未来。爱的明信片，把爱说出来！#六公主直播送冰墩墩雪容融现货#                  原图                             ,,True,14/02/2022 17:35,446449,134569,48037
https://m.weibo.cn/detail/LDa5uCamE,LDa5uCamE,#奇迹笨小孩提名百花奖7个奖项# 电影《奇迹·笨小孩》获得第36届大众电影百花奖7项提名，包括：影片奖、最佳编剧、最佳导演、最佳男主角（易烊千玺）、最佳男配角（田雨）、最佳女配角（齐溪）、最佳新人（陈哈琳）。  [组图共3张] 原图 ,,True,20/07/2022 15:55,16671,981,45454
https://m.weibo.cn/detail/LzF3DkpPN,LzF3DkpPN,【直播：庆祝香港回归祖国25周年云歌会】我们正在为您直播“我们的紫荆花”#庆祝香港回归祖国25周年云歌会#，电影频道@主持人蓝羽 、电影人@王祖藍 搭档主持讲述，@白举纲 @蔡程昱 @常石磊 @陈都灵 @陳嘉上Gordon  @陈松伶_AdiaChan  @成龙 @IXFORM-邓孝慈 @杜江侦察记 @關智斌 @海清 @贺三珊 @胡兵 @胡杏儿 @黄百鸣 @金池jinchi矜持 @蓝盈莹Lyric @李冰冰 @李克勤 @李若彤 @CoCo李玟 @李治廷 @梁漢文edmond @刘恺威 @刘涛tamia @卢靖姗CelinaJade @吕良伟Ray @任達華 @容祖儿 @水木年华 @MIC檀健次JC-T 、汤唯、Twins@鍾欣潼 @蔡卓妍 、@UNIQ-王一博 @魏允熙-O姐 @溫碧霞irenewan @弦子Stringer @许靖韵Angela @许紹洋Ambrose @薛凯琪 @炎明熹Gigi @楊千嬅 @Vincy泳儿 @TIA袁娅维 @MikE曾比特 @曾黎 @张艺兴 @赵牧阳 @郑希怡 @钟镇涛 @周笔畅 @周海媚 @卡布叻_周深 @i周迅 、周旋@周詠琁 、电影频道主持团@主持人郭玮 @主持人谢映玲 @主持人罗小曼 @主持人李丹儿 @李金泽 、巧筠等送来歌声与祝福……超强星光阵容，经典港风歌单，就在今晚！#群星庆祝香港回归25周年# 中国电影报道的微博直播 庆祝香港回归祖国25周年云歌会                                 ,,True,27/06/2022 15:25,143835,10164,45101
https://m.weibo.cn/detail/KD27Kak8I,KD27Kak8I,#成龙国际动作电影周#成龙、肖战合唱《中华力量》，“国为我强我为国强”，两位激昂的演唱伴随着阵阵鼓点，太燃了！  中国电影报道的微博视频  ,,True,16/10/2021 20:55,531033,131401,42575
https://m.weibo.cn/detail/LibTShUq8,LibTShUq8,#王一博转型演员的自我博弈#电影《维和防暴队》近日想看人数突破17万冲上热搜，这离不开演员王一博的功劳。这些年，王一博在演员这条路上的进步有目共睹，作品陆续上映，新戏官宣不断，王一博从流量明星转型实力演员一直在自我“博”弈，突破自己。《冰雨火》《维和防暴队》《长空之王》《无名》，你最期待哪部？#王一博正剧适配度好高#中国电影报道的微博视频                                 ,,True,4/03/2022 17:56,324950,98985,40518
https://m.weibo.cn/detail/LztwnBCux,LztwnBCux,#国际禁毒日##待映缉毒题材影视作品#电影：《猎毒》主演：杨紫、王千源、尚语贤、刘敏涛；《隐秘世界》主演：韩庚、王千源、张馨予剧集：《冰雨火》主演：陈晓、王一博  [组图共3张] 原图 ,,True,26/06/2022 10:03,2881608,97805,40082
https://m.weibo.cn/detail/M5HxAgDcT,M5HxAgDcT,#长空之王里演员拍戏有多拼#为了真实呈现试飞员工作的惊险艰难，《长空之王》里的演员拍戏都太拼了！为拍摄飞机失事跳伞戏，演员王一博被降落伞高速拖拽近百米；一场试验战机装备的戏，演员为呈现真实状态，蹲在地上让吹风机将烟尘覆盖全身，这样持续拍摄12天。 中国电影报道的微博视频  ,,True,14/09/2022 13:19,56266,14723,35700
https://m.weibo.cn/detail/KrpIRbvuG,KrpIRbvuG,“军人的荣耀——电影《长津湖》八一特别直播” 活动正在进行中，#军人的荣耀##电影长津湖#全体主创及特别来宾将共同亮相，分享影片拍摄初衷及幕后创作故事，以电影人的方式致敬“最可爱的人”；“蓝羽会大咖”将分别对话影片主创，表达他们心中的“长津湖”故事；此外更有军史专家做客，讲述长津湖战...全文 ,,True,1/08/2021 10:56,31291,5273,33716
https://m.weibo.cn/detail/KdSK5jXON,KdSK5jXON,【直播|“青春之歌五四歌会”融媒体直播活动】#青春之歌五四歌会#我们正在为您直播，“青春之歌五四歌会”融媒体直播活动。 @人民日报 新媒体中心 @电影频道融媒体中心   联合推出，200位音乐青年3小时不断演唱，青春之歌由中国青年演绎。@白举纲 @曹骏Neil @陈都灵 #邓玉华# @丁冠森 @理塘丁真 @冯聪Actor  @武汉的冯翔 @演员胡先煦 @蒋梦婕 @蓝盈莹Lyric @李昕融的一家 @李易峰 @柳博 @摩登兄弟刘宇宁 @梦然MIYA @这是邱天 @王嘉Jevon @TFBOYS-王源 @吴牧野WMY @叶青Julia @喻越越Y @Zmx曾梦雪 @张海宇Patrick @朱主爱_JoyceChu  青春音乐人（@常石磊 、丁爽、李琪、刘胡轶、王矜霖、徐乐同、宇儿、周品、邓伊伦、曹洋、何佳乐）、 中国煤矿文工团（左炜、孙榕、冷松、马涛、韦宁峰、何羽童）唱响青春……锁定直播，敬请期待！#五四青年节# 中国电影报道的微博视频                                 ,,True,4/05/2021 11:04,121627,5672,32469
https://m.weibo.cn/detail/JDsa4mPti,JDsa4mPti,#武汉日夜融媒体首映直播##武汉日夜首映# 以平凡见证不凡，以真实演绎了不起的中国奇迹！这是中国人的坚强和善良，这是属于我们的中国故事！以爱之名，无畏前行，致敬英雄，向阳而生！#电影武汉日夜#1月22日全国上映，@X玖少年团肖战DAYTOY 邀您观影，重温感动、见证温暖，真情告白“有你真好”！  原图 ,,True,16/01/2021 16:28,725766,1498655,31824
https://m.weibo.cn/detail/LsO2QkSmF,LsO2QkSmF,#王一博我和我的青春预告# 由@UNIQ-王一博 主演的献礼片《中国青年：我和我的青春》发布「致敬青春」特辑，王一博饰演青年音乐人陆阳，回望峥嵘岁月 礼赞热血青春，坚守初心使命 彰显时代担当。  中国电影报道的微博视频  ,,True,13/05/2022 13:25,32842,9749,31490
https://m.weibo.cn/detail/L5GEaf2bI,L5GEaf2bI,【直播|丝绸之路国际电影节融媒体直播】我们正在为您直播#丝绸之路国际电影节直播#融媒体直播第五天！最后一日，精彩依旧，直击闭幕仪式幕后探访，独家对话评委@黄建新 、@任達華 、余男@YUNAN男男 ，解锁本届电影节不为人知的瞬间；#丝绸之路国际电影节闭幕式#星耀福州，电影频道“六公主”合体主持晚...全文 ,,True,12/12/2021 12:18,46460,8342,28944
https://m.weibo.cn/detail/Moivohvfm,Moivohvfm,#肖战手绘大有钱兔祝福##肖战画的福里有只兔子##福满千万家# 癸卯新春将至，演员@X玖少年团肖战DAYTOY 手写福字为大家送上新年祝福，祝大家在新的一年平安健康，万事顺遂！肖战写的福字里蹲了一只小兔子，太可爱了吧！ 中国电影报道的微博视频  ,,True,14/01/2023 20:31,383857,76606,27253
https://m.weibo.cn/detail/KcQZUjlIj,KcQZUjlIj,#看电影学党史# “风雨百年正青春，党的光辉照我心”，与青年演员@X玖少年团肖战DAYTOY  一起关注“经典频传：看电影学党史”系列短视频，以光影铭记百年征程，让红色基因代代相传！#光影奋斗记忆#  中国电影报道的微博视频  ,,True,27/04/2021 16:47,377278,90996,25299
https://m.weibo.cn/detail/Kltx80HYZ,Kltx80HYZ,【直播|“电影之歌·保定站”融媒体直播】#电影之歌# 我们正在为您直播“电影之歌·保定站”融媒体直播。一同探访冉庄地道战遗址、易县狼牙山风景区、莲花池、史家寨窑洞等经典影视作品拍摄地，重走英雄之路；电影学者做客，分享创作经典红色文学电影的故事；此外，独家探班@蔡卓妍 、@常石磊 、@陈立农...全文 ,,True,23/06/2021 9:36,119815,45657,25088
https://m.weibo.cn/detail/Kzadga8IB,Kzadga8IB,【直播|“湾区升明月”2021大湾区中秋电影音乐晚会】#湾区升明月# 我们正在为您直播“湾区升明月”2021大湾区中秋电影音乐晚会，最美星光夜，今晚正式点亮大湾区！超豪华歌单今晚开唱，一场史无前例的视听盛宴！内地、香港、澳门、台湾等全明星阵容陪你过中秋，你准备好了吗？ 中国电影报道的微博直播  ,,True,21/09/2021 10:09,26690,1996,24917
https://m.weibo.cn/detail/LFp2xe1nh,LFp2xe1nh,#1905电影网APP节目单##在电影中找到童心# 不记得是什么时候丢失了的童心，今天去电影中找回来吧！8月4日，点此入口马上收看直播直播 今日特别排播：何炅、杨紫《女生日记》，张京、王莹《霹雳贝贝》，罗京民、丁佳明、刘天佐《孙子从美国来》，洪悦熙、庄则熙、田雨、郑渊洁《皮皮鲁...全文 [组图共2张] 原图 ,,True,4/08/2022 9:40,10682,743,24519
https://m.weibo.cn/detail/L8pHB1Ngs,L8pHB1Ngs,#直击金鸡奖# 我们正在今天为您直播“直击金鸡奖”5G融媒体全景直播第四天！为期三天的金鸡奖将于今日落下帷幕，百余位嘉宾影人即将亮相红毯及闭幕式颁奖典礼，各项提名荣誉结果马上揭晓！#2021星辰大海青年演员优选计划#“三天三夜”生活体验营即将结课，@陈都灵 @侯明昊Neo @我是林一同学 @林允Jelly...全文 ,,True,30/12/2021 10:41,14781,766,22670
https://m.weibo.cn/detail/MB9sGAt3x,MB9sGAt3x,我们正在为您直播2022-2023年度电影频道M榜暨中国电影大数据盛典融媒体直播。百位电影人、音乐人云集荆州，共同见证2022-2023年度电影频道M榜各项荣誉诞生，20点档敬请欣赏盛典精彩！直播还将关注：#乡村振兴星光行动#走进江陵县，聚焦荆州乡村振兴新貌；#电影频道星辰大海五周年#，2023电影频道“星辰...全文 ,,True,9/04/2023 9:24,9728,541,22575
https://m.weibo.cn/detail/M7Yde8BOl,M7Yde8BOl,#2022国庆档电影全阵容直播# 我们将在今晚18:00， 为您直播“祖国不会忘记”——2022国庆档电影矩阵出击融媒体直播活动。国庆档新片全集结，@电影万里归途 联合出品人傅若清、监制王红卫、导演饶晓志@饶有疯趣 、主演@TFBOYS-王俊凯 @殷桃 ，@电影平凡英雄 出品人、总制片人于冬，导演@陈国辉 @李冰冰 、艾尔番·艾则孜，@电影钢铁意志 导演@宁海强 、主演@刘烨 @韩雪 @董春辉D @李沛恩Pein_  @田征 ，@电影新大头儿子 导演何澄、刘可欣@华映星球_刘可欣 、配音演员@CCTV鞠萍 、小鹿姐姐@鹿小鹿Lu 、月亮姐姐@正好妈moon 、黄炜，@电影搜救 主演@甄子丹 等主创将做客直播间，独家访谈分享台前幕后花絮；影片原型人物探访，挖掘银幕背后的动人往事；更有首映礼活动现场近距离直击，敬请期待！锁定直播，光影叙说家国情，为中国电影助力！#我们的英雄我们全真爱##国庆看电影#  中国电影报道的微博直播 2022国庆档电影全阵容直播                                 ,,True,29/09/2022 11:26,5025,779,21632
https://m.weibo.cn/detail/LxPVed8gZ,LxPVed8gZ,#横店在拍古装剧一把子期待了#目前#正在横店拍摄的古装剧#，你最期待哪部？《与凤行》赵丽颖、林更新《长相思》杨紫、张晚意、檀健次、邓为《莲花楼》成毅、曾舜晞、肖顺尧《长风渡》白敬亭、宋轶《宁安如梦》白鹿、张凌赫、刘些宁 《乐游原》许凯、景甜  [组图共6张] 原图 ,,True,15/06/2022 15:24,156346,1006,21331
https://m.weibo.cn/detail/KFV7ctJ2Z,KFV7ctJ2Z,#时代少年团朱雀新舞台# #潮起中国非遗焕新夜#开场，时代少年团带来歌曲《朱雀》，#终于看到时代少年团新舞台了#！潮起中国，和@时代少年团 一起感受华夏魅力！  中国电影报道的微博视频  ,,True,4/11/2021 20:35,396990,270887,20872
https://m.weibo.cn/detail/LvU1t53ei,LvU1t53ei,#龙腾虎跃海峡两岸赛龙舟活动##端午节#我们正在直播“龙腾虎跃” 2022海峡两岸赛龙舟活动第二天盛况！经过一天奋战，300米直道赛冠军终花落谁家？端午民俗何为“点雄黄”？明星连线将分享多少端午趣事？影视作品里的端午文化有哪些……@白鹿my 、@蔡卓妍 、@演员郭晓东 、@吉娜爱丽丝Gina 、@李晨 、...全文 ,,True,2/06/2022 22:09,82112,26408,20859
https://m.weibo.cn/detail/MeGcelkPQ,MeGcelkPQ,#2022直击金鸡奖#电影频道联合厦门广电5G+360°融媒体全景直播第4天！第35届中国电影金鸡奖进入闭幕倒计时，闭幕式红毯、颁奖典礼全程直播，年度优秀影人集结，共同见证顶级电影荣誉诞生；#2022星辰大海青年演员优选计划#“三天三夜”采风创作活动正式结营，青年演员们将整装待发，崭新亮相金鸡舞台；更...全文 ,,True,12/11/2022 14:27,4414,330,20164
https://m.weibo.cn/detail/LzIbI18Og,LzIbI18Og,#25岁的王一博祝福香港回归25周年##王一博standup鼓励青年朋友不负青春#今年也恰逢25岁的王一博在庆祝香港回归25周年云歌会上演唱了歌曲《Stand Up》，鼓励青年朋友不负青春，勇往直前。迷人的旋律，节奏感十足。#香港回归祖国25周年云歌会#  中国电影报道的微博视频  ,,True,27/06/2022 23:23,237084,78759,19533
